學校,完整正式校名,公立/私立,台南市行政區,109學年免試人數,109學年考取科學班人數,109學年第一志願錄取率,110學年免試人數,110學年考取科學班人數,110學年第一志願錄取率,111學年免試人數,111學年考取科學班人數,111學年第一志願錄取率,112學年免試人數,112學年考取科學班人數,112學年第一志願錄取率,113學年免試人數,113學年考取科學班人數,113學年第一志願錄取率,114學年免試人數,114學年考取科學班人數,114學年第一志願錄取率
永仁高中,臺南市立永仁高級中學附設國中部,公立,永康區,2,,0.010204082,4,,0.021621622,2,,0.013071895,1,,0.006369427,3,,0.019480519,2,,0.015151515
山上國中,臺南市立山上國民中學,公立,山上區,2,,0.068965517,-,,-,-,,-,1,,0.058823529,2,,0.083333333,1,,0.047619048
將軍國中,臺南市立將軍國民中學,公立,將軍區,2,,0.047619048,1,,0.027777778,2,,0.076923077,1,,0.03125,2,,0.060606061,1,,0.025641026
西港國中,臺南市立西港國民中學,公立,西港區,2,,0.022988506,4,,0.043010753,1,,0.014084507,3,,0.040540541,2,,0.027027027,1,,0.012987013
六甲國中,臺南市立六甲國民中學,公立,六甲區,2,,0.010752688,2,,0.01459854,3,,0.021126761,2,,0.015503876,2,,0.016528926,1,,0.010869565
龍崎國中,臺南市立龍崎國民中學,公立,龍崎區,2,,0.142857143,1,,0.125,-,,-,-,,-,-,,-,1,,0.076923077
左鎮國中,臺南市立左鎮國民中學,公立,左鎮區,2,,0.074074074,1,,0.043478261,-,,-,-,,-,-,,-,1,,0.052631579
光華高中,臺南市私立光華高級中學國中部,私立,東區,1,,0.05,1,,0.058823529,3,,0.125,-,,-,2,,0.095238095,-,,-
下營國中,臺南市立下營國民中學,公立,下營區,1,,0.008928571,2,,0.018348624,1,,0.009345794,1,,0.014492754,2,,0.025974026,-,,-
後壁國中,臺南市立後壁國民中學,公立,後壁區,1,,0.014285714,-,,-,-,,-,2,,0.043478261,1,,0.018518519,-,,-
明達高中,臺南市私立明達高級中學附設國中部,私立,鹽水區,1,,0.014925373,-,,-,1,,0.014084507,-,,-,-,,-,-,,-
鹽水國中,臺南市立鹽水國民中學,公立,鹽水區,1,,0.01010101,1,,0.0125,1,,0.014925373,-,,-,-,,-,-,,-
南光高中,臺南市私立南光高級中學附設國中部,私立,新營區,1,,0.003412969,2,,0.00660066,5,,0.016233766,5,,0.017421603,10,,#VALUE!,4,,-
楠西國中,臺南市立楠西國民中學,公立,楠西區,1,,0.016666667,2,,0.05,2,,0.044444444,2,,0.055555556,-,,-,1,,0.033333333
